,Date,Price (Euros)
0,12.08.2022,0.15
1,14.08.2022,0.15
2,15.08.2022,0.05
3,16.08.2022,0.03
4,17.08.2022,0.27
5,18.08.2022,0.2
6,20.08.2022,0.06
7,21.08.2022,0.23
8,23.08.2022,0.2
9,24.08.2022,0.05
10,25.08.2022,0.24
11,26.08.2022,0.22
12,27.08.2022,0.12
13,28.08.2022,0.34
14,29.08.2022,0.15
15,30.08.2022,0.21
16,01.09.2022,0.35
17,02.09.2022,0.11
18,04.09.2022,0.1
19,05.09.2022,0.2
20,06.09.2022,0.15
21,07.09.2022,0.25
22,08.09.2022,0.45
23,09.09.2022,0.39
24,10.09.2022,0.1
25,13.09.2022,0.3
26,14.09.2022,0.19
27,15.09.2022,0.1
28,17.09.2022,0.14
29,18.09.2022,0.49
30,22.09.2022,0.05
31,23.09.2022,0.17
32,24.09.2022,0.23
33,25.09.2022,0.35
34,27.09.2022,0.1
35,28.09.2022,0.13
36,29.09.2022,0.16
37,03.10.2022,0.08
38,05.10.2022,0.13
