,Date,Price (Euros)
0,18.08.2022,0.08
1,19.08.2022,0.06
2,21.08.2022,0.14
3,22.08.2022,0.07
4,23.08.2022,0.11
5,24.08.2022,0.1
6,25.08.2022,0.15
7,26.08.2022,0.03
8,27.08.2022,0.07
9,28.08.2022,0.1
10,29.08.2022,0.14
11,30.08.2022,0.03
12,01.09.2022,0.11
13,02.09.2022,0.05
14,03.09.2022,0.11
15,04.09.2022,0.18
16,05.09.2022,0.09
17,06.09.2022,0.03
18,07.09.2022,0.12
19,08.09.2022,0.07
20,09.09.2022,0.05
21,10.09.2022,0.05
22,11.09.2022,0.19
23,12.09.2022,0.25
24,13.09.2022,0.08
25,15.09.2022,0.22
26,16.09.2022,0.06
27,17.09.2022,0.22
28,18.09.2022,0.13
29,20.09.2022,0.21
30,21.09.2022,0.07
31,22.09.2022,0.02
32,23.09.2022,0.09
33,26.09.2022,0.02
34,27.09.2022,0.11
35,28.09.2022,0.11
36,29.09.2022,0.06
37,30.09.2022,0.15
38,02.10.2022,0.04
39,03.10.2022,0.12
40,04.10.2022,0.06
41,05.10.2022,0.04
