,Date,Price (Euros)
0,07.08.2022,0.06
1,08.08.2022,0.1
2,09.08.2022,0.02
3,10.08.2022,0.15
4,11.08.2022,0.03
5,12.08.2022,0.02
6,13.08.2022,0.09
7,14.08.2022,0.02
8,15.08.2022,0.03
9,18.08.2022,0.02
10,19.08.2022,0.05
11,20.08.2022,0.24
12,22.08.2022,0.25
13,23.08.2022,0.07
14,24.08.2022,0.09
15,26.08.2022,0.09
16,27.08.2022,0.09
17,28.08.2022,0.35
18,30.08.2022,0.1
19,01.09.2022,0.07
20,02.09.2022,0.04
21,03.09.2022,0.1
22,04.09.2022,0.02
23,05.09.2022,0.02
24,07.09.2022,0.12
25,08.09.2022,0.35
26,09.09.2022,0.02
27,12.09.2022,0.06
28,13.09.2022,0.18
29,15.09.2022,0.02
30,21.09.2022,0.09
31,22.09.2022,0.02
32,23.09.2022,0.06
33,26.09.2022,0.07
34,27.09.2022,0.19
35,28.09.2022,0.04
36,30.09.2022,0.15
37,01.10.2022,0.09
38,02.10.2022,0.02
39,03.10.2022,0.36
