,Date,Price (Euros)
0,22.08.2022,16.0
1,23.08.2022,12.62
2,24.08.2022,15.55
3,25.08.2022,14.94
4,26.08.2022,12.5
5,27.08.2022,13.55
6,28.08.2022,17.0
7,29.08.2022,15.83
8,30.08.2022,15.99
9,31.08.2022,15.71
10,01.09.2022,16.48
11,02.09.2022,12.94
12,03.09.2022,16.17
13,04.09.2022,14.3
14,05.09.2022,18.16
15,06.09.2022,12.5
16,07.09.2022,16.87
17,08.09.2022,15.02
18,09.09.2022,15.64
19,10.09.2022,15.72
20,11.09.2022,14.43
21,12.09.2022,15.21
22,13.09.2022,15.65
23,14.09.2022,16.04
24,15.09.2022,15.98
25,16.09.2022,15.95
26,17.09.2022,16.71
27,18.09.2022,19.44
28,19.09.2022,18.75
29,20.09.2022,16.15
30,21.09.2022,15.86
31,22.09.2022,17.68
32,23.09.2022,18.14
33,24.09.2022,14.92
34,25.09.2022,18.7
35,26.09.2022,21.47
36,27.09.2022,17.47
37,28.09.2022,17.46
38,29.09.2022,19.15
39,30.09.2022,23.95
40,01.10.2022,15.61
41,02.10.2022,18.96
42,03.10.2022,17.42
43,04.10.2022,18.6
44,05.10.2022,18.74
