,Date,Price (Euros)
0,01.07.2022,0.02
1,02.07.2022,0.21
2,07.07.2022,0.16
3,08.07.2022,0.02
4,09.07.2022,0.02
5,11.07.2022,0.02
6,18.07.2022,0.03
7,21.07.2022,0.02
8,23.07.2022,0.03
9,30.07.2022,0.03
10,31.07.2022,0.02
11,05.08.2022,0.07
12,06.08.2022,0.02
13,08.08.2022,0.05
14,11.08.2022,0.1
15,13.08.2022,0.08
16,16.08.2022,0.1
17,18.08.2022,0.02
18,26.08.2022,0.03
19,27.08.2022,0.3
20,31.08.2022,0.08
21,01.09.2022,0.05
22,02.09.2022,0.15
23,05.09.2022,0.12
24,06.09.2022,0.25
25,07.09.2022,0.12
26,13.09.2022,0.25
27,18.09.2022,0.02
28,19.09.2022,0.02
29,22.09.2022,0.1
