,Date,Price (Euros)
0,13.06.2022,7.38
1,18.06.2022,4.4
2,20.06.2022,4.5
3,21.06.2022,8.75
4,30.06.2022,7.0
5,05.07.2022,7.5
6,06.07.2022,6.94
7,09.07.2022,16.49
8,11.07.2022,9.99
9,14.07.2022,4.97
10,15.07.2022,7.0
11,18.07.2022,4.0
12,19.07.2022,5.99
13,23.07.2022,10.0
14,27.07.2022,4.5
15,28.07.2022,6.0
16,29.07.2022,8.99
17,31.07.2022,6.95
18,02.08.2022,12.0
19,03.08.2022,13.95
20,06.08.2022,5.0
21,17.08.2022,4.53
22,18.08.2022,18.0
23,26.08.2022,11.0
24,28.08.2022,4.22
25,29.08.2022,1.98
26,06.09.2022,4.5
27,08.09.2022,3.98
28,10.09.2022,3.84
29,13.09.2022,5.29
