,Date,Price (Euros)
0,03.08.2022,0.1
1,04.08.2022,0.02
2,05.08.2022,0.02
3,06.08.2022,0.05
4,07.08.2022,0.02
5,08.08.2022,0.2
6,13.08.2022,0.02
7,14.08.2022,0.02
8,15.08.2022,0.08
9,17.08.2022,0.02
10,19.08.2022,0.02
11,20.08.2022,0.02
12,23.08.2022,0.02
13,24.08.2022,0.07
14,25.08.2022,0.02
15,26.08.2022,0.03
16,27.08.2022,0.1
17,29.08.2022,0.02
18,31.08.2022,0.19
19,01.09.2022,0.02
20,04.09.2022,0.03
21,05.09.2022,0.03
22,07.09.2022,0.02
23,08.09.2022,0.02
24,09.09.2022,0.02
25,13.09.2022,0.02
26,17.09.2022,0.02
27,18.09.2022,0.02
28,20.09.2022,0.03
29,21.09.2022,0.05
30,23.09.2022,0.02
31,24.09.2022,0.02
32,26.09.2022,0.02
33,27.09.2022,0.1
34,28.09.2022,0.07
35,29.09.2022,0.03
36,30.09.2022,0.02
37,01.10.2022,0.02
38,03.10.2022,0.1
39,05.10.2022,0.02
