,Date,Price (Euros)
0,21.08.2022,0.05
1,22.08.2022,0.2
2,23.08.2022,0.02
3,24.08.2022,0.26
4,25.08.2022,0.03
5,27.08.2022,0.12
6,28.08.2022,0.11
7,30.08.2022,0.03
8,31.08.2022,0.02
9,01.09.2022,0.02
10,02.09.2022,0.02
11,03.09.2022,0.08
12,04.09.2022,0.02
13,05.09.2022,0.03
14,06.09.2022,0.02
15,07.09.2022,0.02
16,08.09.2022,0.04
17,09.09.2022,0.05
18,10.09.2022,0.05
19,11.09.2022,0.11
20,12.09.2022,0.09
21,13.09.2022,0.02
22,14.09.2022,0.02
23,15.09.2022,0.09
24,16.09.2022,0.06
25,17.09.2022,0.16
26,18.09.2022,0.06
27,19.09.2022,0.07
28,20.09.2022,0.02
29,21.09.2022,0.03
30,22.09.2022,0.02
31,23.09.2022,0.02
32,24.09.2022,0.09
33,25.09.2022,0.02
34,26.09.2022,0.02
35,29.09.2022,0.06
36,30.09.2022,0.02
37,02.10.2022,0.16
38,03.10.2022,0.06
39,04.10.2022,0.06
40,05.10.2022,0.03
