,Date,Price (Euros)
0,21.08.2022,0.02
1,22.08.2022,0.03
2,23.08.2022,0.02
3,24.08.2022,0.06
4,25.08.2022,0.03
5,26.08.2022,0.05
6,27.08.2022,0.06
7,28.08.2022,0.06
8,29.08.2022,0.1
9,30.08.2022,0.11
10,31.08.2022,0.09
11,01.09.2022,0.06
12,02.09.2022,0.12
13,04.09.2022,0.02
14,05.09.2022,0.04
15,06.09.2022,0.03
16,07.09.2022,0.02
17,08.09.2022,0.02
18,09.09.2022,0.1
19,10.09.2022,0.08
20,11.09.2022,0.06
21,12.09.2022,0.02
22,13.09.2022,0.06
23,15.09.2022,0.06
24,16.09.2022,0.04
25,17.09.2022,0.03
26,18.09.2022,0.07
27,19.09.2022,0.15
28,20.09.2022,0.23
29,21.09.2022,0.06
30,22.09.2022,0.05
31,23.09.2022,0.03
32,24.09.2022,0.02
33,25.09.2022,0.02
34,26.09.2022,0.04
35,27.09.2022,0.07
36,29.09.2022,0.09
37,30.09.2022,0.08
38,01.10.2022,0.11
39,02.10.2022,0.16
40,03.10.2022,0.02
41,04.10.2022,0.14
42,05.10.2022,0.04
