,Date,Price (Euros)
0,15.08.2022,0.2
1,17.08.2022,0.22
2,18.08.2022,0.35
3,19.08.2022,0.07
4,20.08.2022,0.35
5,21.08.2022,0.39
6,23.08.2022,0.29
7,24.08.2022,0.6
8,25.08.2022,0.18
9,26.08.2022,0.37
10,27.08.2022,0.5
11,29.08.2022,0.16
12,31.08.2022,0.15
13,01.09.2022,0.08
14,03.09.2022,0.27
15,04.09.2022,0.19
16,05.09.2022,0.16
17,06.09.2022,0.11
18,07.09.2022,0.31
19,08.09.2022,0.17
20,10.09.2022,0.46
21,11.09.2022,0.1
22,12.09.2022,0.99
23,13.09.2022,0.18
24,15.09.2022,0.13
25,16.09.2022,0.18
26,17.09.2022,0.13
27,19.09.2022,0.16
28,20.09.2022,0.17
29,21.09.2022,0.17
30,22.09.2022,0.19
31,23.09.2022,0.09
32,24.09.2022,0.15
33,25.09.2022,0.29
34,26.09.2022,0.09
35,27.09.2022,0.32
36,28.09.2022,0.05
37,29.09.2022,0.13
38,30.09.2022,0.73
39,01.10.2022,0.15
40,03.10.2022,0.34
41,04.10.2022,0.29
42,05.10.2022,0.49
