,Date,Price (Euros)
0,08.08.2022,0.06
1,09.08.2022,0.14
2,11.08.2022,0.32
3,13.08.2022,0.03
4,14.08.2022,0.15
5,15.08.2022,0.16
6,16.08.2022,0.05
7,17.08.2022,0.02
8,18.08.2022,0.02
9,20.08.2022,0.09
10,21.08.2022,0.49
11,23.08.2022,0.21
12,24.08.2022,0.2
13,25.08.2022,0.15
14,26.08.2022,0.14
15,27.08.2022,0.12
16,28.08.2022,0.06
17,01.09.2022,0.3
18,03.09.2022,0.39
19,04.09.2022,0.2
20,05.09.2022,0.04
21,07.09.2022,0.16
22,10.09.2022,0.05
23,11.09.2022,0.02
24,13.09.2022,0.3
25,14.09.2022,0.21
26,15.09.2022,0.12
27,16.09.2022,0.2
28,18.09.2022,0.39
29,20.09.2022,0.11
30,22.09.2022,0.02
31,23.09.2022,0.15
32,24.09.2022,0.96
33,26.09.2022,0.35
34,27.09.2022,0.08
35,28.09.2022,0.22
36,01.10.2022,0.96
37,02.10.2022,0.12
38,03.10.2022,0.19
