,Date,Price (Euros)
0,23.08.2022,2.08
1,24.08.2022,2.11
2,25.08.2022,1.99
3,26.08.2022,2.37
4,27.08.2022,2.3
5,28.08.2022,2.41
6,29.08.2022,1.33
7,30.08.2022,2.0
8,31.08.2022,2.49
9,01.09.2022,1.79
10,02.09.2022,2.27
11,03.09.2022,1.72
12,04.09.2022,2.27
13,05.09.2022,2.44
14,06.09.2022,2.1
15,07.09.2022,2.8
16,08.09.2022,1.9
17,09.09.2022,1.93
18,10.09.2022,2.34
19,11.09.2022,2.31
20,12.09.2022,1.51
21,13.09.2022,2.95
22,14.09.2022,2.41
23,15.09.2022,2.78
24,16.09.2022,2.31
25,17.09.2022,2.61
26,18.09.2022,2.07
27,19.09.2022,2.65
28,20.09.2022,1.67
29,21.09.2022,2.4
