,Date,Price (Euros)
0,22.08.2022,8.21
1,23.08.2022,8.9
2,24.08.2022,6.99
3,25.08.2022,6.58
4,26.08.2022,6.75
5,27.08.2022,8.67
6,28.08.2022,6.1
7,29.08.2022,9.97
8,30.08.2022,6.92
9,31.08.2022,7.07
10,01.09.2022,6.95
11,02.09.2022,6.48
12,03.09.2022,6.46
13,04.09.2022,7.75
14,05.09.2022,7.53
15,06.09.2022,7.88
16,07.09.2022,7.45
17,08.09.2022,7.71
18,09.09.2022,7.19
19,10.09.2022,6.95
20,11.09.2022,7.65
21,12.09.2022,7.0
22,13.09.2022,7.18
23,14.09.2022,7.33
24,15.09.2022,6.8
25,16.09.2022,7.0
26,17.09.2022,7.28
27,18.09.2022,6.94
28,20.09.2022,6.52
29,21.09.2022,7.27
