,Date,Price (Euros)
0,23.08.2022,0.48
1,24.08.2022,0.69
2,25.08.2022,0.96
3,26.08.2022,1.02
4,27.08.2022,0.34
5,28.08.2022,0.39
6,29.08.2022,0.45
7,30.08.2022,0.68
8,31.08.2022,1.06
9,01.09.2022,1.06
10,02.09.2022,1.27
11,03.09.2022,0.9
12,04.09.2022,1.45
13,05.09.2022,1.66
14,06.09.2022,0.41
15,07.09.2022,0.74
16,08.09.2022,0.55
17,09.09.2022,0.94
18,10.09.2022,0.26
19,11.09.2022,0.4
20,12.09.2022,0.56
21,13.09.2022,0.59
22,14.09.2022,0.88
23,15.09.2022,1.16
24,16.09.2022,1.3
25,17.09.2022,0.61
26,18.09.2022,0.36
27,19.09.2022,0.67
28,20.09.2022,0.62
29,21.09.2022,0.86
