,Date,Price (Euros)
0,23.08.2022,0.34
1,24.08.2022,0.62
2,25.08.2022,0.4
3,26.08.2022,0.23
4,27.08.2022,0.63
5,28.08.2022,0.52
6,29.08.2022,1.45
7,30.08.2022,0.42
8,31.08.2022,0.67
9,01.09.2022,0.91
10,02.09.2022,0.39
11,03.09.2022,1.6
12,04.09.2022,0.39
13,05.09.2022,1.84
14,06.09.2022,1.64
15,07.09.2022,0.67
16,08.09.2022,1.12
17,09.09.2022,2.28
18,10.09.2022,0.31
19,11.09.2022,0.57
20,12.09.2022,0.54
21,13.09.2022,0.5
22,14.09.2022,0.97
23,15.09.2022,0.57
24,16.09.2022,0.54
25,17.09.2022,0.68
26,18.09.2022,0.7
27,19.09.2022,0.63
28,20.09.2022,0.87
29,21.09.2022,0.63
