,Date,Price (Euros)
0,12.08.2022,0.37
1,13.08.2022,0.61
2,16.08.2022,0.42
3,17.08.2022,0.38
4,18.08.2022,1.2
5,19.08.2022,1.79
6,21.08.2022,1.12
7,24.08.2022,0.23
8,25.08.2022,0.5
9,26.08.2022,1.45
10,27.08.2022,0.55
11,28.08.2022,0.13
12,29.08.2022,0.34
13,30.08.2022,0.2
14,01.09.2022,0.2
15,03.09.2022,0.17
16,04.09.2022,0.4
17,05.09.2022,0.1
18,06.09.2022,0.39
19,07.09.2022,0.59
20,08.09.2022,0.45
21,09.09.2022,1.46
22,10.09.2022,0.14
23,13.09.2022,3.03
24,14.09.2022,1.39
25,16.09.2022,0.98
26,17.09.2022,0.51
27,18.09.2022,0.2
28,19.09.2022,0.56
29,21.09.2022,1.5
