,Date,Price (Euros)
0,16.08.2022,0.35
1,17.08.2022,0.08
2,18.08.2022,0.35
3,19.08.2022,0.04
4,20.08.2022,0.36
5,21.08.2022,0.25
6,23.08.2022,0.46
7,24.08.2022,0.22
8,26.08.2022,0.48
9,27.08.2022,0.3
10,28.08.2022,0.14
11,29.08.2022,0.25
12,30.08.2022,0.19
13,31.08.2022,0.19
14,02.09.2022,0.2
15,03.09.2022,0.22
16,04.09.2022,0.17
17,05.09.2022,0.29
18,06.09.2022,0.37
19,08.09.2022,0.15
20,11.09.2022,0.25
21,12.09.2022,0.3
22,13.09.2022,0.06
23,14.09.2022,0.14
24,15.09.2022,0.1
25,16.09.2022,0.23
26,17.09.2022,0.3
27,18.09.2022,0.32
28,20.09.2022,0.25
29,21.09.2022,0.2
