,Date,Price (Euros)
0,23.08.2022,8.42
1,24.08.2022,7.71
2,25.08.2022,8.37
3,26.08.2022,8.44
4,27.08.2022,9.02
5,28.08.2022,7.48
6,29.08.2022,8.02
7,30.08.2022,8.14
8,31.08.2022,8.1
9,01.09.2022,8.26
10,02.09.2022,7.58
11,03.09.2022,7.82
12,04.09.2022,8.97
13,05.09.2022,8.34
14,06.09.2022,8.5
15,07.09.2022,8.2
16,08.09.2022,7.63
17,09.09.2022,8.12
18,10.09.2022,8.86
19,11.09.2022,8.15
20,12.09.2022,9.11
21,13.09.2022,8.46
22,14.09.2022,9.2
23,15.09.2022,8.31
24,16.09.2022,7.73
25,17.09.2022,8.14
26,18.09.2022,8.47
27,19.09.2022,8.96
28,20.09.2022,9.77
29,21.09.2022,9.22
30,22.09.2022,10.06
31,23.09.2022,8.35
32,24.09.2022,8.59
33,25.09.2022,8.62
34,26.09.2022,8.56
35,27.09.2022,8.49
36,28.09.2022,8.74
37,29.09.2022,8.56
38,30.09.2022,8.82
39,01.10.2022,8.91
40,02.10.2022,8.92
41,03.10.2022,8.58
42,04.10.2022,8.52
43,05.10.2022,8.51
