,Date,Price (Euros)
0,20.08.2022,0.12
1,21.08.2022,0.22
2,22.08.2022,0.09
3,23.08.2022,0.05
4,25.08.2022,0.31
5,26.08.2022,0.27
6,27.08.2022,0.5
7,28.08.2022,0.04
8,29.08.2022,0.07
9,30.08.2022,0.08
10,31.08.2022,0.19
11,01.09.2022,0.06
12,02.09.2022,0.2
13,03.09.2022,0.19
14,04.09.2022,0.06
15,05.09.2022,0.23
16,06.09.2022,0.22
17,07.09.2022,0.19
18,08.09.2022,0.25
19,09.09.2022,0.25
20,10.09.2022,0.14
21,12.09.2022,0.05
22,13.09.2022,0.26
23,14.09.2022,0.05
24,15.09.2022,0.13
25,16.09.2022,0.05
26,17.09.2022,0.08
27,19.09.2022,0.2
28,20.09.2022,0.15
29,21.09.2022,0.15
30,22.09.2022,0.23
31,23.09.2022,0.07
32,24.09.2022,0.32
33,25.09.2022,0.3
34,26.09.2022,0.32
35,28.09.2022,0.06
36,29.09.2022,0.26
37,02.10.2022,0.12
38,04.10.2022,0.09
39,05.10.2022,0.18
