,Date,Price (Euros)
0,17.08.2022,0.08
1,18.08.2022,0.31
2,20.08.2022,0.08
3,21.08.2022,0.02
4,22.08.2022,0.32
5,23.08.2022,0.5
6,24.08.2022,0.32
7,26.08.2022,0.1
8,27.08.2022,0.25
9,28.08.2022,0.16
10,29.08.2022,0.2
11,30.08.2022,0.07
12,31.08.2022,0.26
13,01.09.2022,0.24
14,02.09.2022,0.19
15,03.09.2022,0.14
16,04.09.2022,0.02
17,05.09.2022,0.79
18,06.09.2022,0.79
19,07.09.2022,0.35
20,09.09.2022,0.18
21,10.09.2022,0.45
22,11.09.2022,0.22
23,12.09.2022,0.08
24,13.09.2022,0.4
25,14.09.2022,0.19
26,16.09.2022,0.41
27,17.09.2022,0.3
28,18.09.2022,0.11
29,19.09.2022,0.22
30,22.09.2022,0.07
31,23.09.2022,0.36
32,24.09.2022,0.18
33,27.09.2022,0.34
34,28.09.2022,0.26
35,01.10.2022,0.09
36,02.10.2022,0.22
37,03.10.2022,0.75
38,04.10.2022,0.31
39,05.10.2022,0.25
