,Date,Price (Euros)
0,21.04.2022,0.02
1,22.04.2022,0.05
2,26.04.2022,0.05
3,28.04.2022,0.09
4,30.04.2022,0.04
5,04.05.2022,0.05
6,06.05.2022,0.02
7,15.05.2022,0.02
8,27.05.2022,0.04
9,06.06.2022,0.05
10,08.06.2022,0.02
11,17.06.2022,0.02
12,23.06.2022,0.02
13,28.06.2022,0.29
14,29.06.2022,0.02
15,05.07.2022,0.02
16,15.07.2022,0.05
17,02.08.2022,0.05
18,06.08.2022,0.02
19,15.08.2022,0.02
20,17.08.2022,0.15
21,21.08.2022,0.49
22,22.08.2022,0.03
23,30.08.2022,0.05
24,10.09.2022,0.02
25,12.09.2022,0.1
26,18.09.2022,0.02
27,19.09.2022,0.02
28,21.09.2022,0.02
29,22.09.2022,0.19
