,Date,Price (Euros)
0,19.08.2022,0.75
1,20.08.2022,0.49
2,22.08.2022,0.8
3,23.08.2022,0.62
4,24.08.2022,0.88
5,25.08.2022,0.79
6,26.08.2022,0.2
7,27.08.2022,0.45
8,29.08.2022,0.99
9,30.08.2022,0.54
10,31.08.2022,0.92
11,02.09.2022,1.08
12,03.09.2022,0.42
13,04.09.2022,0.67
14,05.09.2022,1.29
15,06.09.2022,1.38
16,08.09.2022,1.78
17,10.09.2022,0.53
18,11.09.2022,0.56
19,12.09.2022,1.0
20,13.09.2022,1.14
21,14.09.2022,0.26
22,15.09.2022,1.99
23,16.09.2022,0.52
24,17.09.2022,1.99
25,19.09.2022,0.66
26,20.09.2022,0.49
27,21.09.2022,0.57
28,22.09.2022,0.99
29,23.09.2022,0.49
