,Date,Price (Euros)
0,19.06.2022,0.1
1,20.06.2022,0.02
2,21.06.2022,0.02
3,24.06.2022,0.02
4,29.06.2022,0.02
5,01.07.2022,0.02
6,03.07.2022,0.15
7,05.07.2022,0.28
8,06.07.2022,0.03
9,08.07.2022,0.02
10,16.07.2022,0.15
11,25.07.2022,0.02
12,26.07.2022,0.03
13,29.07.2022,0.02
14,31.07.2022,0.09
15,06.08.2022,0.15
16,07.08.2022,0.05
17,19.08.2022,0.02
18,20.08.2022,0.04
19,26.08.2022,0.02
20,28.08.2022,0.02
21,29.08.2022,0.03
22,30.08.2022,0.06
23,04.09.2022,0.11
24,06.09.2022,0.1
25,09.09.2022,0.02
26,15.09.2022,0.05
27,18.09.2022,0.02
28,21.09.2022,0.02
29,23.09.2022,0.02
