,Date,Price (Euros)
0,29.06.2022,0.1
1,01.07.2022,0.02
2,02.07.2022,0.08
3,05.07.2022,0.06
4,08.07.2022,0.02
5,11.07.2022,0.12
6,13.07.2022,0.15
7,14.07.2022,0.25
8,25.07.2022,0.07
9,27.07.2022,0.39
10,03.08.2022,0.05
11,04.08.2022,0.03
12,05.08.2022,0.05
13,07.08.2022,0.05
14,10.08.2022,0.12
15,15.08.2022,0.02
16,18.08.2022,0.24
17,21.08.2022,0.24
18,22.08.2022,0.05
19,23.08.2022,0.1
20,24.08.2022,0.02
21,30.08.2022,0.05
22,04.09.2022,0.03
23,05.09.2022,0.2
24,06.09.2022,0.02
25,10.09.2022,0.04
26,13.09.2022,0.1
27,16.09.2022,0.29
28,18.09.2022,0.02
29,20.09.2022,0.03
