,Date,Price (Euros)
0,01.08.2022,0.15
1,03.08.2022,0.39
2,04.08.2022,0.39
3,08.08.2022,0.12
4,10.08.2022,0.16
5,11.08.2022,0.02
6,13.08.2022,0.1
7,15.08.2022,0.14
8,16.08.2022,0.29
9,17.08.2022,0.02
10,19.08.2022,0.22
11,20.08.2022,0.19
12,21.08.2022,0.05
13,24.08.2022,0.1
14,30.08.2022,0.05
15,31.08.2022,0.1
16,01.09.2022,0.15
17,02.09.2022,0.12
18,03.09.2022,0.02
19,06.09.2022,0.1
20,08.09.2022,0.02
21,10.09.2022,0.18
22,13.09.2022,0.05
23,14.09.2022,0.2
24,15.09.2022,0.1
25,16.09.2022,0.1
26,18.09.2022,0.23
27,19.09.2022,0.25
28,20.09.2022,0.02
29,23.09.2022,0.07
