,Date,Price (Euros)
0,12.08.2022,0.3
1,13.08.2022,0.25
2,15.08.2022,0.05
3,16.08.2022,0.2
4,17.08.2022,0.08
5,18.08.2022,0.15
6,19.08.2022,0.02
7,21.08.2022,0.19
8,22.08.2022,0.08
9,23.08.2022,0.26
10,24.08.2022,0.18
11,29.08.2022,0.05
12,30.08.2022,0.09
13,31.08.2022,0.05
14,01.09.2022,0.52
15,04.09.2022,0.1
16,05.09.2022,0.1
17,06.09.2022,0.16
18,07.09.2022,0.14
19,09.09.2022,0.16
20,10.09.2022,0.19
21,13.09.2022,0.08
22,14.09.2022,0.03
23,16.09.2022,0.02
24,17.09.2022,0.15
25,18.09.2022,0.05
26,19.09.2022,0.25
27,20.09.2022,0.06
28,21.09.2022,0.1
29,22.09.2022,0.09
