,Date,Price (Euros)
0,11.08.2022,0.1
1,13.08.2022,0.1
2,16.08.2022,0.19
3,17.08.2022,0.18
4,18.08.2022,0.07
5,19.08.2022,0.12
6,20.08.2022,0.02
7,21.08.2022,0.1
8,23.08.2022,0.1
9,24.08.2022,0.34
10,26.08.2022,0.24
11,29.08.2022,0.13
12,31.08.2022,0.15
13,01.09.2022,0.07
14,02.09.2022,0.77
15,03.09.2022,0.25
16,05.09.2022,0.09
17,07.09.2022,0.18
18,08.09.2022,0.1
19,09.09.2022,0.5
20,10.09.2022,0.2
21,11.09.2022,0.1
22,12.09.2022,0.02
23,13.09.2022,0.05
24,14.09.2022,0.34
25,15.09.2022,0.25
26,16.09.2022,0.49
27,18.09.2022,0.05
28,19.09.2022,0.03
29,20.09.2022,0.21
