,Date,Price (Euros)
0,22.08.2022,3.97
1,23.08.2022,5.63
2,24.08.2022,3.82
3,25.08.2022,2.83
4,26.08.2022,3.0
5,27.08.2022,3.56
6,28.08.2022,4.64
7,29.08.2022,4.45
8,30.08.2022,3.97
9,31.08.2022,4.49
10,01.09.2022,3.0
11,02.09.2022,4.65
12,03.09.2022,3.99
13,04.09.2022,3.41
14,05.09.2022,5.05
15,06.09.2022,4.09
16,07.09.2022,5.04
17,08.09.2022,3.58
18,10.09.2022,4.66
19,12.09.2022,4.9
20,13.09.2022,4.0
21,14.09.2022,4.17
22,15.09.2022,5.23
23,16.09.2022,4.29
24,17.09.2022,4.26
25,18.09.2022,4.65
26,19.09.2022,4.08
27,20.09.2022,4.32
28,21.09.2022,4.37
29,22.09.2022,3.98
