,Date,Price (Euros)
0,18.08.2022,0.55
1,19.08.2022,0.39
2,20.08.2022,0.4
3,22.08.2022,0.5
4,23.08.2022,0.56
5,25.08.2022,0.45
6,26.08.2022,0.43
7,27.08.2022,0.1
8,29.08.2022,0.4
9,30.08.2022,0.33
10,31.08.2022,0.4
11,01.09.2022,0.19
12,02.09.2022,0.48
13,04.09.2022,0.79
14,05.09.2022,0.49
15,06.09.2022,0.24
16,07.09.2022,0.1
17,08.09.2022,0.79
18,09.09.2022,0.4
19,10.09.2022,0.47
20,11.09.2022,0.49
21,12.09.2022,0.74
22,14.09.2022,0.69
23,15.09.2022,0.79
24,17.09.2022,0.36
25,18.09.2022,0.67
26,19.09.2022,0.55
27,20.09.2022,0.41
28,21.09.2022,0.53
29,22.09.2022,0.09
