,Date,Price (Euros)
0,11.08.2022,0.25
1,12.08.2022,0.19
2,14.08.2022,0.33
3,15.08.2022,0.75
4,19.08.2022,0.02
5,20.08.2022,0.61
6,22.08.2022,0.05
7,23.08.2022,0.02
8,27.08.2022,0.45
9,28.08.2022,0.75
10,29.08.2022,0.14
11,30.08.2022,0.04
12,31.08.2022,0.02
13,01.09.2022,0.05
14,02.09.2022,0.1
15,03.09.2022,0.25
16,06.09.2022,0.02
17,08.09.2022,0.13
18,10.09.2022,0.33
19,11.09.2022,0.75
20,12.09.2022,0.25
21,13.09.2022,0.02
22,14.09.2022,0.12
23,15.09.2022,0.31
24,16.09.2022,0.15
25,17.09.2022,0.12
26,18.09.2022,0.1
27,20.09.2022,0.12
28,21.09.2022,0.05
29,22.09.2022,0.02
