,Date,Price (Euros)
0,16.08.2022,0.64
1,17.08.2022,1.49
2,19.08.2022,0.86
3,20.08.2022,1.31
4,21.08.2022,0.99
5,22.08.2022,0.79
6,24.08.2022,0.8
7,27.08.2022,1.01
8,28.08.2022,2.0
9,29.08.2022,0.72
10,30.08.2022,0.68
11,31.08.2022,0.43
12,01.09.2022,0.48
13,03.09.2022,0.95
14,04.09.2022,0.44
15,05.09.2022,1.49
16,06.09.2022,0.87
17,07.09.2022,0.96
18,09.09.2022,0.81
19,10.09.2022,1.0
20,11.09.2022,1.44
21,13.09.2022,1.87
22,14.09.2022,0.6
23,15.09.2022,1.74
24,17.09.2022,0.55
25,18.09.2022,0.9
26,19.09.2022,0.77
27,20.09.2022,1.01
28,21.09.2022,0.65
29,22.09.2022,0.64
