,Date,Price (Euros)
0,30.06.2022,0.02
1,04.07.2022,0.02
2,06.07.2022,0.05
3,08.07.2022,0.02
4,09.07.2022,0.16
5,10.07.2022,0.09
6,17.07.2022,0.02
7,24.07.2022,0.02
8,28.07.2022,0.02
9,30.07.2022,0.02
10,02.08.2022,0.02
11,08.08.2022,0.02
12,12.08.2022,0.17
13,14.08.2022,0.02
14,18.08.2022,0.02
15,19.08.2022,0.02
16,21.08.2022,0.03
17,23.08.2022,0.02
18,26.08.2022,0.05
19,27.08.2022,0.25
20,28.08.2022,0.02
21,29.08.2022,0.02
22,03.09.2022,0.02
23,06.09.2022,0.19
24,08.09.2022,0.02
25,09.09.2022,0.02
26,13.09.2022,0.02
27,17.09.2022,0.02
28,18.09.2022,0.05
29,20.09.2022,0.02
