,Date,Price (Euros)
0,20.08.2022,0.23
1,22.08.2022,0.25
2,23.08.2022,0.54
3,24.08.2022,0.2
4,25.08.2022,0.2
5,26.08.2022,0.23
6,28.08.2022,0.27
7,29.08.2022,0.19
8,30.08.2022,0.21
9,31.08.2022,0.12
10,01.09.2022,0.3
11,02.09.2022,0.39
12,03.09.2022,0.99
13,04.09.2022,0.27
14,05.09.2022,0.35
15,06.09.2022,0.23
16,07.09.2022,0.18
17,08.09.2022,0.08
18,09.09.2022,0.17
19,10.09.2022,0.02
20,11.09.2022,0.04
21,12.09.2022,0.19
22,13.09.2022,0.12
23,14.09.2022,0.16
24,15.09.2022,0.58
25,16.09.2022,0.25
26,17.09.2022,0.07
27,18.09.2022,0.18
28,19.09.2022,0.24
29,21.09.2022,0.26
30,22.09.2022,0.14
31,23.09.2022,0.16
32,24.09.2022,0.2
33,25.09.2022,0.1
34,26.09.2022,0.2
35,27.09.2022,0.21
36,28.09.2022,0.12
37,29.09.2022,0.06
38,30.09.2022,0.04
39,01.10.2022,0.21
40,02.10.2022,0.18
41,03.10.2022,0.22
42,04.10.2022,0.02
43,05.10.2022,0.06
