,Date,Price (Euros)
0,04.09.2022,0.2
1,05.09.2022,0.19
2,08.09.2022,0.39
3,09.09.2022,0.13
4,11.09.2022,0.15
5,13.09.2022,0.25
6,14.09.2022,0.12
7,15.09.2022,0.19
8,16.09.2022,0.1
9,17.09.2022,0.11
10,18.09.2022,0.09
11,19.09.2022,0.11
12,20.09.2022,0.1
13,21.09.2022,0.09
14,22.09.2022,0.16
15,23.09.2022,0.11
16,24.09.2022,0.13
17,25.09.2022,0.14
18,26.09.2022,0.1
19,27.09.2022,0.08
20,28.09.2022,0.12
21,29.09.2022,0.11
22,30.09.2022,0.16
23,01.10.2022,0.23
24,02.10.2022,0.12
25,03.10.2022,0.07
26,04.10.2022,0.07
27,05.10.2022,0.1
