,Date,Price (Euros)
0,02.09.2022,3.95
1,03.09.2022,4.99
2,04.09.2022,3.76
3,05.09.2022,4.79
4,06.09.2022,3.49
5,07.09.2022,3.66
6,08.09.2022,2.45
7,09.09.2022,2.05
8,10.09.2022,2.18
9,11.09.2022,2.43
10,12.09.2022,1.59
11,13.09.2022,1.5
12,14.09.2022,1.4
13,15.09.2022,1.05
14,16.09.2022,0.95
15,17.09.2022,0.89
16,18.09.2022,0.87
17,19.09.2022,0.84
18,20.09.2022,0.91
19,21.09.2022,0.83
20,22.09.2022,0.73
21,23.09.2022,0.77
22,24.09.2022,0.76
23,25.09.2022,0.74
24,26.09.2022,0.94
25,27.09.2022,0.79
26,28.09.2022,0.81
27,29.09.2022,0.87
28,30.09.2022,0.82
29,01.10.2022,0.89
30,02.10.2022,0.83
31,03.10.2022,0.91
32,04.10.2022,0.79
33,05.10.2022,0.77
