,Date,Price (Euros)
0,03.07.2022,6.57
1,05.07.2022,6.7
2,11.07.2022,6.0
3,14.07.2022,6.1
4,16.07.2022,4.9
5,17.07.2022,6.3
6,19.07.2022,6.49
7,25.07.2022,9.9
8,28.07.2022,7.0
9,29.07.2022,4.92
10,30.07.2022,5.5
11,02.08.2022,5.0
12,04.08.2022,5.53
13,06.08.2022,5.49
14,07.08.2022,5.99
15,10.08.2022,11.35
16,12.08.2022,6.41
17,13.08.2022,6.9
18,19.08.2022,4.84
19,21.08.2022,4.44
20,22.08.2022,3.4
21,26.08.2022,5.89
22,30.08.2022,4.54
23,31.08.2022,3.67
24,01.09.2022,5.9
25,06.09.2022,5.34
26,13.09.2022,4.99
27,18.09.2022,7.23
28,19.09.2022,6.25
29,20.09.2022,5.0
