,Date,Price (Euros)
0,16.05.2022,0.79
1,17.05.2022,1.2
2,31.05.2022,0.99
3,04.06.2022,1.52
4,06.06.2022,0.68
5,10.06.2022,0.7
6,13.06.2022,2.5
7,19.06.2022,0.8
8,27.06.2022,2.85
9,02.07.2022,0.99
10,10.07.2022,0.5
11,17.07.2022,2.85
12,19.07.2022,1.0
13,24.07.2022,1.0
14,30.07.2022,0.75
15,07.08.2022,1.0
16,13.08.2022,1.06
17,16.08.2022,1.06
18,19.08.2022,1.95
19,26.08.2022,1.0
20,28.08.2022,0.99
21,30.08.2022,0.69
22,01.09.2022,1.0
23,02.09.2022,2.04
24,03.09.2022,0.7
25,04.09.2022,0.75
26,11.09.2022,1.2
27,13.09.2022,2.0
28,18.09.2022,2.0
29,22.09.2022,0.44
