,Date,Price (Euros)
0,05.08.2022,0.15
1,08.08.2022,0.3
2,10.08.2022,0.17
3,12.08.2022,0.31
4,13.08.2022,0.25
5,14.08.2022,0.09
6,16.08.2022,0.2
7,17.08.2022,0.2
8,18.08.2022,0.19
9,19.08.2022,0.15
10,20.08.2022,0.09
11,21.08.2022,0.24
12,24.08.2022,0.15
13,25.08.2022,0.19
14,26.08.2022,0.4
15,28.08.2022,0.5
16,29.08.2022,0.33
17,30.08.2022,0.19
18,01.09.2022,0.39
19,03.09.2022,0.25
20,05.09.2022,0.2
21,06.09.2022,0.06
22,07.09.2022,0.25
23,13.09.2022,0.34
24,16.09.2022,0.39
25,18.09.2022,0.05
26,19.09.2022,0.04
27,20.09.2022,0.35
28,22.09.2022,0.34
29,23.09.2022,0.25
