,Date,Price (Euros)
0,26.07.2022,0.24
1,28.07.2022,0.59
2,29.07.2022,0.39
3,31.07.2022,0.15
4,01.08.2022,0.24
5,02.08.2022,0.2
6,03.08.2022,0.23
7,04.08.2022,0.15
8,05.08.2022,0.1
9,07.08.2022,0.02
10,10.08.2022,0.06
11,11.08.2022,0.25
12,14.08.2022,0.02
13,16.08.2022,0.15
14,19.08.2022,0.99
15,22.08.2022,0.4
16,23.08.2022,0.1
17,26.08.2022,0.46
18,28.08.2022,0.07
19,30.08.2022,0.02
20,04.09.2022,0.46
21,05.09.2022,0.1
22,09.09.2022,0.09
23,15.09.2022,0.19
24,17.09.2022,0.25
25,18.09.2022,0.06
26,19.09.2022,0.1
27,20.09.2022,0.25
28,21.09.2022,0.14
29,22.09.2022,0.02
