,Date,Price (Euros)
0,03.08.2022,0.34
1,05.08.2022,0.2
2,11.08.2022,0.93
3,13.08.2022,0.45
4,14.08.2022,0.75
5,16.08.2022,0.33
6,17.08.2022,0.25
7,19.08.2022,0.75
8,20.08.2022,0.34
9,22.08.2022,0.19
10,23.08.2022,1.14
11,28.08.2022,0.25
12,29.08.2022,0.29
13,30.08.2022,0.3
14,02.09.2022,0.49
15,04.09.2022,0.2
16,05.09.2022,0.43
17,06.09.2022,0.35
18,07.09.2022,1.06
19,10.09.2022,0.26
20,11.09.2022,0.75
21,12.09.2022,0.86
22,13.09.2022,0.37
23,14.09.2022,0.85
24,15.09.2022,0.25
25,16.09.2022,0.49
26,19.09.2022,0.49
27,20.09.2022,0.91
28,21.09.2022,0.2
29,22.09.2022,0.51
