,Date,Price (Euros)
0,16.07.2022,0.05
1,17.07.2022,0.02
2,18.07.2022,0.1
3,20.07.2022,0.1
4,25.07.2022,0.29
5,28.07.2022,0.45
6,30.07.2022,0.17
7,31.07.2022,0.15
8,01.08.2022,0.02
9,02.08.2022,0.09
10,03.08.2022,0.49
11,05.08.2022,0.31
12,06.08.2022,0.02
13,10.08.2022,0.2
14,11.08.2022,0.96
15,13.08.2022,0.02
16,16.08.2022,0.02
17,19.08.2022,0.59
18,20.08.2022,0.09
19,26.08.2022,0.34
20,30.08.2022,0.02
21,01.09.2022,0.04
22,02.09.2022,0.11
23,03.09.2022,0.55
24,04.09.2022,0.1
25,06.09.2022,0.17
26,13.09.2022,0.08
27,14.09.2022,0.4
28,17.09.2022,0.1
29,21.09.2022,0.14
