,Date,Price (Euros)
0,11.08.2022,0.02
1,13.08.2022,0.02
2,14.08.2022,0.03
3,16.08.2022,0.02
4,18.08.2022,0.17
5,21.08.2022,0.1
6,22.08.2022,0.05
7,23.08.2022,0.02
8,26.08.2022,0.02
9,27.08.2022,0.08
10,28.08.2022,0.08
11,31.08.2022,0.27
12,01.09.2022,0.02
13,02.09.2022,0.2
14,03.09.2022,0.51
15,04.09.2022,0.03
16,05.09.2022,0.02
17,06.09.2022,0.08
18,09.09.2022,0.08
19,11.09.2022,0.21
20,12.09.2022,0.02
21,13.09.2022,0.11
22,14.09.2022,0.99
23,15.09.2022,0.27
24,16.09.2022,0.04
25,17.09.2022,0.03
26,18.09.2022,0.04
27,19.09.2022,0.49
28,20.09.2022,0.16
29,21.09.2022,0.02
30,23.09.2022,0.16
31,28.09.2022,0.02
32,30.09.2022,0.39
33,01.10.2022,0.05
34,02.10.2022,0.06
35,03.10.2022,0.05
36,05.10.2022,0.13
