,Date,Price (Euros)
0,24.07.2022,0.25
1,25.07.2022,0.05
2,27.07.2022,0.1
3,30.07.2022,0.04
4,03.08.2022,0.02
5,04.08.2022,0.02
6,05.08.2022,0.1
7,06.08.2022,0.02
8,07.08.2022,0.02
9,09.08.2022,0.14
10,12.08.2022,0.11
11,14.08.2022,0.02
12,16.08.2022,0.02
13,18.08.2022,0.02
14,19.08.2022,0.02
15,20.08.2022,0.02
16,21.08.2022,0.12
17,22.08.2022,0.11
18,23.08.2022,0.02
19,29.08.2022,0.1
20,30.08.2022,0.02
21,31.08.2022,0.03
22,01.09.2022,0.02
23,11.09.2022,0.02
24,13.09.2022,0.03
25,14.09.2022,0.1
26,16.09.2022,0.02
27,18.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.1
30,22.09.2022,0.03
31,23.09.2022,0.15
32,28.09.2022,0.02
33,29.09.2022,0.02
34,02.10.2022,0.02
35,05.10.2022,0.02
