,Date,Price (Euros)
0,22.08.2022,0.27
1,23.08.2022,0.55
2,24.08.2022,0.44
3,25.08.2022,0.15
4,26.08.2022,0.1
5,27.08.2022,0.15
6,28.08.2022,0.19
7,29.08.2022,0.08
8,30.08.2022,0.02
9,31.08.2022,0.37
10,01.09.2022,0.63
11,02.09.2022,0.04
12,03.09.2022,0.09
13,04.09.2022,0.17
14,05.09.2022,0.51
15,06.09.2022,0.2
16,07.09.2022,0.08
17,08.09.2022,0.36
18,09.09.2022,0.23
19,10.09.2022,0.14
20,11.09.2022,0.14
21,12.09.2022,0.21
22,13.09.2022,0.32
23,14.09.2022,0.12
24,16.09.2022,0.11
25,17.09.2022,0.23
26,18.09.2022,0.23
27,19.09.2022,0.19
28,20.09.2022,0.24
29,21.09.2022,0.18
30,22.09.2022,0.16
31,23.09.2022,0.09
32,24.09.2022,0.1
33,25.09.2022,0.36
34,26.09.2022,0.08
35,27.09.2022,0.2
36,28.09.2022,0.07
37,29.09.2022,0.15
38,30.09.2022,0.35
39,01.10.2022,0.29
40,02.10.2022,0.16
41,03.10.2022,0.09
42,04.10.2022,0.25
43,05.10.2022,0.32
