,Date,Price (Euros)
0,19.08.2022,0.13
1,20.08.2022,0.04
2,21.08.2022,0.05
3,22.08.2022,0.17
4,23.08.2022,0.1
5,25.08.2022,0.07
6,27.08.2022,0.28
7,28.08.2022,0.58
8,29.08.2022,0.06
9,30.08.2022,0.32
10,31.08.2022,0.26
11,01.09.2022,0.33
12,02.09.2022,0.09
13,03.09.2022,0.05
14,04.09.2022,0.3
15,05.09.2022,0.04
16,06.09.2022,0.16
17,07.09.2022,0.02
18,08.09.2022,0.36
19,10.09.2022,0.23
20,11.09.2022,0.07
21,12.09.2022,0.51
22,13.09.2022,0.09
23,14.09.2022,0.18
24,15.09.2022,0.27
25,16.09.2022,0.06
26,17.09.2022,0.27
27,18.09.2022,0.06
28,20.09.2022,0.3
29,21.09.2022,0.06
30,22.09.2022,0.02
31,23.09.2022,0.37
32,24.09.2022,0.16
33,25.09.2022,0.11
34,26.09.2022,0.05
35,27.09.2022,0.13
36,28.09.2022,0.61
37,29.09.2022,0.13
38,30.09.2022,0.16
39,01.10.2022,0.15
40,02.10.2022,0.68
41,03.10.2022,0.8
42,04.10.2022,0.48
43,05.10.2022,0.52
