,Date,Price (Euros)
0,23.08.2022,2.28
1,24.08.2022,1.66
2,25.08.2022,2.87
3,26.08.2022,1.0
4,27.08.2022,1.61
5,28.08.2022,1.21
6,29.08.2022,0.93
7,30.08.2022,0.94
8,31.08.2022,2.01
9,01.09.2022,0.97
10,02.09.2022,2.71
11,03.09.2022,1.26
12,04.09.2022,0.79
13,05.09.2022,0.7
14,06.09.2022,1.13
15,07.09.2022,1.0
16,08.09.2022,1.14
17,09.09.2022,1.12
18,10.09.2022,1.99
19,11.09.2022,3.39
20,12.09.2022,2.83
21,13.09.2022,0.93
22,14.09.2022,1.08
23,15.09.2022,1.36
24,16.09.2022,2.23
25,17.09.2022,0.74
26,18.09.2022,1.26
27,19.09.2022,2.07
28,20.09.2022,1.31
29,21.09.2022,0.86
30,22.09.2022,1.82
31,23.09.2022,1.08
32,24.09.2022,1.86
33,25.09.2022,0.93
34,26.09.2022,2.0
35,27.09.2022,1.03
36,28.09.2022,0.81
37,29.09.2022,1.4
38,30.09.2022,0.84
39,01.10.2022,1.83
40,02.10.2022,0.77
41,03.10.2022,1.12
42,04.10.2022,1.44
43,05.10.2022,2.64
