,Date,Price (Euros)
0,23.08.2022,0.25
1,24.08.2022,0.3
2,25.08.2022,0.12
3,26.08.2022,0.48
4,27.08.2022,0.1
5,28.08.2022,0.4
6,29.08.2022,0.32
7,30.08.2022,0.15
8,31.08.2022,0.15
9,01.09.2022,0.17
10,02.09.2022,0.13
11,03.09.2022,0.32
12,04.09.2022,0.69
13,05.09.2022,0.02
14,06.09.2022,0.44
15,07.09.2022,0.17
16,08.09.2022,0.06
17,09.09.2022,0.13
18,10.09.2022,0.19
19,11.09.2022,0.06
20,12.09.2022,0.11
21,13.09.2022,0.31
22,14.09.2022,0.08
23,15.09.2022,0.09
24,16.09.2022,0.24
25,17.09.2022,0.22
26,18.09.2022,0.22
27,19.09.2022,0.3
28,20.09.2022,0.25
29,21.09.2022,0.19
30,22.09.2022,0.05
31,23.09.2022,0.13
32,24.09.2022,0.79
33,25.09.2022,0.21
34,26.09.2022,0.15
35,27.09.2022,0.12
36,28.09.2022,0.35
37,29.09.2022,0.27
38,30.09.2022,0.39
39,01.10.2022,0.12
40,02.10.2022,0.17
41,03.10.2022,0.2
42,04.10.2022,0.3
43,05.10.2022,0.12
