,Date,Price (Euros)
0,20.08.2022,13.8
1,21.08.2022,12.47
2,22.08.2022,10.84
3,23.08.2022,11.61
4,24.08.2022,14.39
5,25.08.2022,10.73
6,26.08.2022,10.61
7,27.08.2022,9.41
8,28.08.2022,10.63
9,29.08.2022,11.88
10,30.08.2022,11.17
11,31.08.2022,9.86
12,01.09.2022,10.09
13,02.09.2022,10.0
14,03.09.2022,10.56
15,04.09.2022,9.27
16,05.09.2022,9.4
17,06.09.2022,8.96
18,07.09.2022,8.23
19,08.09.2022,9.54
20,09.09.2022,9.51
21,10.09.2022,10.68
22,11.09.2022,8.31
23,12.09.2022,9.23
24,13.09.2022,9.7
25,14.09.2022,8.07
26,15.09.2022,11.62
27,16.09.2022,8.98
28,17.09.2022,9.39
29,18.09.2022,9.67
30,19.09.2022,8.99
31,20.09.2022,8.52
32,21.09.2022,8.9
33,22.09.2022,11.22
34,23.09.2022,8.14
35,24.09.2022,8.31
36,25.09.2022,9.72
37,26.09.2022,10.22
38,27.09.2022,8.18
39,28.09.2022,10.72
40,29.09.2022,7.94
41,30.09.2022,9.08
42,01.10.2022,8.75
43,02.10.2022,8.4
44,03.10.2022,9.0
45,04.10.2022,8.75
46,05.10.2022,8.7
