,Date,Price (Euros)
0,20.08.2022,0.04
1,21.08.2022,0.02
2,22.08.2022,0.05
3,23.08.2022,0.12
4,24.08.2022,0.14
5,25.08.2022,0.06
6,26.08.2022,0.05
7,27.08.2022,0.03
8,28.08.2022,0.03
9,29.08.2022,0.05
10,30.08.2022,0.04
11,31.08.2022,0.03
12,01.09.2022,0.05
13,02.09.2022,0.04
14,03.09.2022,0.05
15,04.09.2022,0.03
16,05.09.2022,0.05
17,06.09.2022,0.02
18,07.09.2022,0.03
19,08.09.2022,0.03
20,09.09.2022,0.03
21,10.09.2022,0.07
22,11.09.2022,0.02
23,12.09.2022,0.12
24,13.09.2022,0.05
25,14.09.2022,21.04
26,15.09.2022,0.03
27,16.09.2022,0.04
28,17.09.2022,0.02
29,18.09.2022,0.09
30,19.09.2022,0.02
31,21.09.2022,0.04
32,22.09.2022,15.36
33,23.09.2022,0.09
34,24.09.2022,0.09
35,25.09.2022,0.02
36,26.09.2022,0.03
37,27.09.2022,0.08
38,28.09.2022,0.03
39,29.09.2022,0.02
40,30.09.2022,0.02
41,01.10.2022,0.03
42,02.10.2022,0.02
43,03.10.2022,0.19
44,04.10.2022,0.02
45,05.10.2022,0.03
