,Date,Price (Euros)
0,20.08.2022,9.09
1,21.08.2022,9.54
2,22.08.2022,10.04
3,23.08.2022,10.11
4,24.08.2022,9.99
5,25.08.2022,11.09
6,26.08.2022,10.91
7,27.08.2022,11.18
8,28.08.2022,11.66
9,29.08.2022,11.03
10,30.08.2022,12.72
11,31.08.2022,12.32
12,01.09.2022,12.95
13,02.09.2022,12.99
14,03.09.2022,13.08
15,04.09.2022,14.0
16,05.09.2022,14.36
17,06.09.2022,14.67
18,07.09.2022,16.25
19,08.09.2022,17.23
20,09.09.2022,17.08
21,10.09.2022,16.69
22,11.09.2022,18.03
23,12.09.2022,18.4
24,13.09.2022,18.95
25,14.09.2022,20.54
26,15.09.2022,20.1
27,16.09.2022,20.92
28,17.09.2022,19.35
29,18.09.2022,20.98
30,19.09.2022,21.31
31,20.09.2022,20.9
32,21.09.2022,20.78
33,22.09.2022,22.29
34,23.09.2022,21.37
35,24.09.2022,22.28
36,25.09.2022,22.15
37,26.09.2022,21.26
38,27.09.2022,21.81
39,28.09.2022,22.59
40,29.09.2022,21.04
41,30.09.2022,22.68
42,01.10.2022,22.25
43,02.10.2022,23.58
44,03.10.2022,24.47
45,04.10.2022,24.6
46,05.10.2022,24.58
