,Date,Price (Euros)
0,20.08.2022,1.56
1,21.08.2022,1.46
2,22.08.2022,1.58
3,23.08.2022,1.55
4,24.08.2022,1.55
5,25.08.2022,1.85
6,26.08.2022,1.29
7,27.08.2022,1.65
8,28.08.2022,1.32
9,29.08.2022,1.71
10,30.08.2022,1.41
11,31.08.2022,1.13
12,01.09.2022,1.31
13,02.09.2022,1.34
14,03.09.2022,1.52
15,04.09.2022,1.17
16,05.09.2022,1.32
17,06.09.2022,0.92
18,07.09.2022,1.05
19,08.09.2022,1.68
20,09.09.2022,1.1
21,10.09.2022,1.06
22,11.09.2022,1.26
23,12.09.2022,1.15
24,13.09.2022,1.15
25,14.09.2022,1.29
26,15.09.2022,1.33
27,16.09.2022,1.41
28,17.09.2022,1.3
29,18.09.2022,1.28
30,19.09.2022,1.46
31,20.09.2022,1.24
32,21.09.2022,1.03
33,22.09.2022,1.6
34,23.09.2022,0.97
35,24.09.2022,1.19
36,25.09.2022,1.39
37,26.09.2022,1.23
38,27.09.2022,1.57
39,28.09.2022,1.63
40,29.09.2022,1.44
41,30.09.2022,1.38
42,01.10.2022,1.68
43,02.10.2022,1.57
44,03.10.2022,1.46
45,04.10.2022,1.4
46,05.10.2022,2.5
