,Date,Price (Euros)
0,22.06.2022,1.0
1,24.06.2022,1.35
2,29.06.2022,2.0
3,01.07.2022,0.75
4,06.07.2022,0.79
5,07.07.2022,1.75
6,10.07.2022,0.95
7,12.07.2022,1.34
8,15.07.2022,0.59
9,20.07.2022,0.55
10,22.07.2022,0.99
11,23.07.2022,2.25
12,25.07.2022,0.99
13,28.07.2022,0.5
14,05.08.2022,0.5
15,07.08.2022,1.0
16,15.08.2022,0.83
17,16.08.2022,1.0
18,23.08.2022,1.55
19,25.08.2022,0.79
20,28.08.2022,1.22
21,29.08.2022,2.0
22,30.08.2022,0.99
23,31.08.2022,0.93
24,03.09.2022,0.99
25,05.09.2022,1.0
26,08.09.2022,0.59
27,10.09.2022,1.08
28,12.09.2022,0.45
29,21.09.2022,0.95
