,Date,Price (Euros)
0,30.07.2022,1.58
1,31.07.2022,2.95
2,01.08.2022,2.5
3,02.08.2022,1.06
4,03.08.2022,2.94
5,04.08.2022,1.55
6,05.08.2022,1.77
7,08.08.2022,1.16
8,09.08.2022,2.25
9,10.08.2022,1.0
10,11.08.2022,1.2
11,12.08.2022,1.58
12,13.08.2022,2.89
13,14.08.2022,5.99
14,15.08.2022,3.67
15,16.08.2022,1.0
16,17.08.2022,1.6
17,25.08.2022,3.66
18,26.08.2022,1.87
19,31.08.2022,1.13
20,02.09.2022,4.21
21,03.09.2022,1.99
22,04.09.2022,2.0
23,05.09.2022,1.4
24,09.09.2022,3.6
25,10.09.2022,3.09
26,12.09.2022,1.95
27,14.09.2022,1.3
28,15.09.2022,1.8
29,20.09.2022,1.0
