,Date,Price (Euros)
0,29.09.2021,364.95
1,09.10.2021,370.0
2,12.10.2021,349.0
3,14.10.2021,347.5
4,01.11.2021,345.0
5,17.11.2021,330.0
6,24.11.2021,349.95
7,01.12.2021,368.0
8,09.12.2021,459.59
9,15.12.2021,399.5
10,12.01.2022,479.98
11,13.01.2022,365.0
12,18.01.2022,389.0
13,03.02.2022,499.99
14,12.02.2022,400.0
15,16.02.2022,445.0
16,01.03.2022,385.0
17,01.04.2022,370.0
18,09.06.2022,300.0
19,16.06.2022,399.99
20,12.07.2022,449.94
21,13.07.2022,480.0
22,16.07.2022,380.0
23,26.07.2022,400.0
24,27.07.2022,421.74
25,12.08.2022,423.28
26,13.08.2022,490.0
27,19.08.2022,420.0
28,26.08.2022,499.99
29,18.09.2022,380.0
