,Date,Price (Euros)
0,08.07.2022,0.15
1,11.07.2022,0.06
2,12.07.2022,0.02
3,13.07.2022,0.1
4,14.07.2022,0.05
5,16.07.2022,0.3
6,18.07.2022,0.29
7,24.07.2022,0.1
8,25.07.2022,0.35
9,26.07.2022,0.35
10,29.07.2022,0.24
11,30.07.2022,0.2
12,02.08.2022,0.1
13,03.08.2022,0.02
14,05.08.2022,0.02
15,07.08.2022,0.02
16,08.08.2022,0.05
17,11.08.2022,0.2
18,14.08.2022,0.29
19,23.08.2022,0.07
20,30.08.2022,0.06
21,31.08.2022,0.29
22,01.09.2022,0.2
23,02.09.2022,0.29
24,06.09.2022,0.05
25,09.09.2022,0.02
26,16.09.2022,0.1
27,18.09.2022,0.05
28,20.09.2022,0.19
29,22.09.2022,0.02
