,Date,Price (Euros)
0,14.08.2022,0.2
1,15.08.2022,0.1
2,16.08.2022,0.14
3,17.08.2022,0.1
4,18.08.2022,0.1
5,19.08.2022,0.29
6,20.08.2022,0.06
7,24.08.2022,0.11
8,25.08.2022,0.11
9,26.08.2022,0.05
10,28.08.2022,0.15
11,29.08.2022,0.25
12,30.08.2022,0.15
13,31.08.2022,0.03
14,01.09.2022,0.03
15,02.09.2022,0.04
16,05.09.2022,0.31
17,07.09.2022,0.06
18,08.09.2022,0.1
19,09.09.2022,0.27
20,10.09.2022,0.1
21,13.09.2022,0.09
22,14.09.2022,0.15
23,15.09.2022,0.13
24,16.09.2022,0.07
25,17.09.2022,0.1
26,18.09.2022,0.11
27,19.09.2022,0.04
28,20.09.2022,0.18
29,21.09.2022,0.09
