,Date,Price (Euros)
0,17.07.2022,0.25
1,23.07.2022,0.13
2,24.07.2022,0.6
3,26.07.2022,0.26
4,29.07.2022,0.44
5,30.07.2022,0.34
6,31.07.2022,0.45
7,03.08.2022,0.29
8,04.08.2022,0.29
9,05.08.2022,0.14
10,06.08.2022,0.72
11,14.08.2022,0.2
12,15.08.2022,0.23
13,16.08.2022,0.49
14,18.08.2022,0.93
15,19.08.2022,0.25
16,21.08.2022,0.39
17,26.08.2022,0.5
18,27.08.2022,0.15
19,28.08.2022,0.44
20,29.08.2022,0.2
21,30.08.2022,0.25
22,01.09.2022,0.2
23,06.09.2022,0.24
24,07.09.2022,0.33
25,09.09.2022,0.49
26,13.09.2022,1.0
27,15.09.2022,0.15
28,16.09.2022,0.2
29,20.09.2022,0.39
