,Date,Price (Euros)
0,18.07.2022,0.5
1,19.07.2022,0.08
2,21.07.2022,0.31
3,01.08.2022,0.29
4,02.08.2022,0.21
5,04.08.2022,0.39
6,05.08.2022,0.38
7,06.08.2022,0.29
8,08.08.2022,0.13
9,09.08.2022,0.14
10,10.08.2022,0.05
11,11.08.2022,0.2
12,15.08.2022,0.13
13,16.08.2022,0.14
14,18.08.2022,0.16
15,19.08.2022,0.03
16,21.08.2022,0.29
17,22.08.2022,0.14
18,24.08.2022,0.38
19,29.08.2022,0.04
20,01.09.2022,0.05
21,02.09.2022,0.12
22,03.09.2022,0.05
23,05.09.2022,0.08
24,07.09.2022,0.17
25,10.09.2022,0.23
26,14.09.2022,0.15
27,15.09.2022,0.15
28,17.09.2022,0.28
29,21.09.2022,0.99
