,Date,Price (Euros)
0,18.08.2022,0.35
1,19.08.2022,0.24
2,20.08.2022,0.09
3,21.08.2022,0.29
4,22.08.2022,0.67
5,24.08.2022,0.66
6,25.08.2022,0.5
7,28.08.2022,0.33
8,29.08.2022,0.39
9,30.08.2022,0.23
10,31.08.2022,0.18
11,01.09.2022,0.45
12,02.09.2022,0.34
13,03.09.2022,0.33
14,04.09.2022,0.39
15,06.09.2022,0.4
16,07.09.2022,0.26
17,08.09.2022,0.3
18,09.09.2022,0.33
19,10.09.2022,0.23
20,11.09.2022,0.17
21,12.09.2022,0.21
22,13.09.2022,0.24
23,14.09.2022,0.39
24,15.09.2022,0.37
25,16.09.2022,0.46
26,17.09.2022,0.6
27,18.09.2022,0.29
28,20.09.2022,0.42
29,21.09.2022,0.25
