,Date,Price (Euros)
0,22.08.2022,0.69
1,23.08.2022,0.2
2,24.08.2022,0.13
3,25.08.2022,0.37
4,26.08.2022,0.04
5,27.08.2022,0.1
6,28.08.2022,0.14
7,29.08.2022,0.32
8,30.08.2022,0.14
9,31.08.2022,0.29
10,01.09.2022,0.15
11,02.09.2022,0.02
12,03.09.2022,0.1
13,04.09.2022,0.08
14,05.09.2022,0.06
15,06.09.2022,0.09
16,07.09.2022,0.06
17,08.09.2022,0.07
18,09.09.2022,0.15
19,10.09.2022,0.1
20,11.09.2022,0.19
21,12.09.2022,0.11
22,13.09.2022,0.1
23,14.09.2022,0.16
24,15.09.2022,0.19
25,17.09.2022,0.15
26,18.09.2022,0.19
27,19.09.2022,0.18
28,20.09.2022,0.15
29,21.09.2022,0.06
30,22.09.2022,0.13
31,23.09.2022,0.17
32,24.09.2022,0.13
33,25.09.2022,0.12
34,26.09.2022,0.12
35,27.09.2022,0.13
36,28.09.2022,0.09
37,29.09.2022,0.17
38,30.09.2022,0.07
39,01.10.2022,0.16
40,02.10.2022,0.11
41,03.10.2022,0.16
42,04.10.2022,0.19
43,05.10.2022,0.13
