,Date,Price (Euros)
0,23.08.2022,1.34
1,24.08.2022,1.38
2,25.08.2022,1.2
3,26.08.2022,1.1
4,27.08.2022,1.29
5,28.08.2022,1.41
6,29.08.2022,1.12
7,30.08.2022,1.19
8,31.08.2022,0.9
9,01.09.2022,0.83
10,02.09.2022,0.9
11,03.09.2022,0.84
12,04.09.2022,0.7
13,05.09.2022,0.81
14,06.09.2022,0.87
15,07.09.2022,1.13
16,08.09.2022,0.99
17,09.09.2022,1.91
18,10.09.2022,1.32
19,11.09.2022,1.6
20,12.09.2022,1.03
21,13.09.2022,1.45
22,14.09.2022,1.07
23,15.09.2022,1.61
24,16.09.2022,1.49
25,17.09.2022,1.52
26,18.09.2022,1.05
27,19.09.2022,0.66
28,20.09.2022,1.06
29,21.09.2022,1.17
