,Date,Price (Euros)
0,20.08.2022,1.59
1,21.08.2022,2.83
2,22.08.2022,1.25
3,23.08.2022,2.36
4,24.08.2022,1.5
5,25.08.2022,1.29
6,26.08.2022,1.44
7,27.08.2022,1.58
8,28.08.2022,1.33
9,29.08.2022,1.79
10,30.08.2022,1.81
11,31.08.2022,1.93
12,01.09.2022,2.04
13,02.09.2022,1.72
14,04.09.2022,1.85
15,05.09.2022,2.23
16,06.09.2022,2.99
17,07.09.2022,1.87
18,08.09.2022,1.44
19,09.09.2022,1.76
20,10.09.2022,0.9
21,11.09.2022,1.88
22,13.09.2022,1.59
23,14.09.2022,1.91
24,15.09.2022,1.33
25,16.09.2022,1.25
26,17.09.2022,0.85
27,19.09.2022,1.19
28,20.09.2022,1.22
29,21.09.2022,0.86
