,Date,Price (Euros)
0,17.08.2022,0.25
1,18.08.2022,0.14
2,19.08.2022,0.1
3,20.08.2022,0.02
4,21.08.2022,0.24
5,23.08.2022,0.17
6,24.08.2022,0.05
7,25.08.2022,0.29
8,28.08.2022,0.05
9,29.08.2022,0.1
10,30.08.2022,0.19
11,31.08.2022,0.15
12,01.09.2022,0.09
13,02.09.2022,0.08
14,03.09.2022,0.15
15,04.09.2022,0.06
16,05.09.2022,0.14
17,06.09.2022,0.14
18,07.09.2022,0.24
19,08.09.2022,0.1
20,09.09.2022,0.1
21,10.09.2022,0.04
22,11.09.2022,0.15
23,12.09.2022,0.07
24,13.09.2022,0.07
25,16.09.2022,0.19
26,17.09.2022,0.1
27,18.09.2022,0.18
28,19.09.2022,0.04
29,20.09.2022,0.05
30,22.09.2022,0.07
31,24.09.2022,0.02
32,25.09.2022,0.15
33,26.09.2022,0.19
34,27.09.2022,0.2
35,28.09.2022,0.08
36,29.09.2022,0.16
37,30.09.2022,0.1
38,01.10.2022,0.05
39,02.10.2022,0.08
40,03.10.2022,0.28
41,04.10.2022,0.03
42,05.10.2022,0.08
