,Date,Price (Euros)
0,29.07.2022,0.15
1,31.07.2022,0.29
2,01.08.2022,0.09
3,04.08.2022,0.14
4,06.08.2022,0.22
5,09.08.2022,0.07
6,13.08.2022,0.14
7,15.08.2022,0.1
8,16.08.2022,0.09
9,17.08.2022,0.02
10,18.08.2022,0.14
11,19.08.2022,0.16
12,20.08.2022,0.15
13,22.08.2022,0.18
14,23.08.2022,0.1
15,30.08.2022,0.18
16,01.09.2022,0.15
17,02.09.2022,0.15
18,03.09.2022,0.3
19,05.09.2022,0.12
20,06.09.2022,0.15
21,08.09.2022,0.19
22,09.09.2022,0.1
23,10.09.2022,0.02
24,14.09.2022,0.15
25,16.09.2022,0.02
26,17.09.2022,0.16
27,19.09.2022,0.19
28,20.09.2022,0.1
29,21.09.2022,0.05
30,22.09.2022,0.02
31,23.09.2022,0.14
32,24.09.2022,0.25
33,25.09.2022,0.02
34,26.09.2022,0.02
35,27.09.2022,0.19
36,28.09.2022,0.18
37,29.09.2022,0.02
38,01.10.2022,0.2
39,02.10.2022,0.08
40,05.10.2022,0.22
